"album_id","album_name","artist_name"
"08J0usmnyEIpNH9GEtTk5p","Love You Again","Chase Matthew"
"5SGtrmYbIo0Dsg4kJ4qjM6","Moon Music","Coldplay"
"5dH89SWty2zwQkpLtPI2Lv","São Paulo","The Weeknd"
"7A2rFcb97EUFcBI0RGhjgc","This Is My Dirt","Justin Moore"
"1KFWgQTw3EMTQebaaepVBI","Clancy","Twenty One Pilots"
"5r4bE2O6LCLBTjT42RBXwg","Tailor Swif","A$AP Rocky"
"71d88dx1lqVtzHh1bxz9VK","Ruby Rosary (feat. J. Cole)","A$AP Rocky"
"70juF5u8ay9fGv78N0BEzE","MEGAN: ACT II","Megan Thee Stallion"
"4PyoZjkXt1en5EM6LBf8sA","Shawn","Shawn Mendes"
"3aaVxygUPKEQMIpXPgAUrJ","Stick Season (We'll All Be Here Forever)","Noah Kahan"
"4ulbgdzzSPhT7HEmUWfUPG","PJ (feat. Lil Baby)","BossMan Dlow"
"5SGtrmYbIo0Dsg4kJ4qjM6","Moon Music","Coldplay"
"4peDphjWdwzhrTEnQbfZ4G","A Cold Sunday","Lil Yachty"
"3zYGFehwRL2X8Q757ZhJDX","Tee's Coney Island","Tee Grizzley"
"4C23ofFqNhsaAEkThw2yRB","The Great Impersonator","Halsey"
"5pQs8l0kyftlASrbXp0KU3","California Gold","Nate Smith"
"3udGZ4POJcLvk9DfN2KoS4","Blow for Blow (feat. J. Cole)","Tee Grizzley"
"5glJE1IDthPVklvDyEVqfL","HIGHJACK","A$AP Rocky"
"5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","¥$"
"6k4sB6SP3ekH3iIhaDuUV4","Double Life (From ""Despicable Me 4"")","Pharrell Williams"
"1HSW0KtusVmitWsZGhjaJB","Lose My Breath (Feat. Charlie Puth)","Stray Kids"
"46LE2xR4e92aVvo1QlUiS3","Disco","Surf Curse"
"3tKHDHYrbcCFDC1yDeLOx2","La Intención","Christian Nodal"
"2qwv7hNjSGfLarHY2adeq9","14 minutes","Dominic Fike"
"1mOzqonHplZ7XxhwNtDbBp","Sugar Honey Iced Tea","Latto"
"3mXIEeHVXdaA4hczThlrRC","Mr Pot Scraper","BossMan Dlow"
"0yuurOHxwWdHK2DaoRSkn8","Not Now I'm Busy","Joyner Lucas"
"1ubJSiGbO0OsLHwFFs8NBr","New To Country","Bailey Zimmerman"
"2THNAoibV6yyuZcvaU9U5x","Linger / Heading For The Door (Sirius XM Session)","Royel Otis"
"0wCLHkBRKcndhMQQpeo8Ji","I Don't Wanna Wait","David Guetta"
"4QwYcMNFzIhUctirR6XKDM","MIRADA","Ivan Cornejo"
"526xuSD6c45Gb5hH4rN8RY","KEEP UP // FROSTBITE","Odetari"
"6zXydimgenc15N3LWmf0cn","Never Let Go","Jung Kook"
"2ha4ucrONN0cihLMkP02Ch","New Woman (feat. ROSALÍA)","LISA"
"4zdhsTwjNaFtvLCTYBpejR","Mantra","JENNIE"
"1nt0BAJMDSGQvmZbq0xhoI","Reboot II","Brooks & Dunn"
"1tc6XshhetHi2jagwM3UhS","All I Need Is You","Chris Janson"
"2Wu6YPeXdwiyqV5YulLf1W","Sorry Not Sorry","Lil Yachty"
"5ayh7q1xq1jFa3QsmE3M7n","Sunday Service","Latto"
"3gkwDd6hohNwtgET2IpJLZ","Wanna Be Loved","The Red Clay Strays"
"7mePeoRszpMqgvTAc9uRY0","Timeless (Deluxe)","Meghan Trainor"
"0lgs2Sa82lyX89nBUWyUy6","FERXXOCALIPSIS","Feid"
"6E7Awtyx6opYTbPXx6ApzB","PLAYA SATURNO","Rauw Alejandro"
"4OWkgV3qaf52HEXYsRSTZM","DEVIL YOU KNOW","Tyler Braden"
