album_id,album_name,label,external_link,album_image,artist_name,genre
2s7CBSj6aKbWmkfBU8eEsg,Pretty Little Poison,Warner Records,https://open.spotify.com/album/2s7CBSj6aKbWmkfBU8eEsg,https://i.scdn.co/image/ab67616d0000b2735a82ccbb75c010b5ef4d055e,Warren Zeiders,country
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,OVO/Republic,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,https://i.scdn.co/image/ab67616d0000b273e286ee36b4015afa8832356a,Drake,hip hop
2MHUaRi9OCyTN02SoyRRBJ,MAYHEM,Interscope Records,https://open.spotify.com/album/2MHUaRi9OCyTN02SoyRRBJ,https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c,Lady Gaga,synthpop
5nzSCZ7NhKvAysI0tmNOdD,yustyna,Artemas,https://open.spotify.com/album/5nzSCZ7NhKvAysI0tmNOdD,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e,Artemas,alternative pop
2v1Lb9hidHkvvlIXYzSmeZ,Whitsitt Chapel,Stoney Creek Records,https://open.spotify.com/album/2v1Lb9hidHkvvlIXYzSmeZ,https://i.scdn.co/image/ab67616d0000b273026adcf853fad0af470a9fbb,Jelly Roll,country
32bR4LcEc1PvJEhaKoo4ZN,euphoria,"Kendrick Lamar, under exclusive license to Interscope Records",https://open.spotify.com/album/32bR4LcEc1PvJEhaKoo4ZN,https://i.scdn.co/image/ab67616d0000b2737587213b1be294ac4000f648,Kendrick Lamar,hardcore hip hop
0bn9eJMUQzbqZjI4ZAvRF5,the mockingbird & THE CROW,Big Loud,https://open.spotify.com/album/0bn9eJMUQzbqZjI4ZAvRF5,https://i.scdn.co/image/ab67616d0000b273fd6559329866163a6c4919d2,HARDY,country
5Uly85dJHHDfHQCsyUQ8gw,Gettin' Old,River House Artists/Columbia Nashville,https://open.spotify.com/album/5Uly85dJHHDfHQCsyUQ8gw,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,Luke Combs,country
5eA2VJ0yeiU4kXz1zvuMro,Pink Friday 2 (Gag City Deluxe),Republic Records,https://open.spotify.com/album/5eA2VJ0yeiU4kXz1zvuMro,https://i.scdn.co/image/ab67616d0000b273880b3c7370f10774587a7942,Nicki Minaj,hip hop
1bWcE0tKOJgn4kgpNKSHU0,NEXT,Interscope Records,https://open.spotify.com/album/1bWcE0tKOJgn4kgpNKSHU0,https://i.scdn.co/image/ab67616d0000b273de88a62b44d6c0b2dda333a3,Xavi,banda
3VNxRarx9HUI5w7DHv0TBj,Stargazing,RCA Records Label,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,Myles Smith,folk pop
2GW4VpFk9mbc6qYZ0zNuu3,Beautifully Broken,BBR Music Group/Jelly Roll,https://open.spotify.com/album/2GW4VpFk9mbc6qYZ0zNuu3,https://i.scdn.co/image/ab67616d0000b273d80f1f7607d4b12390321773,Jelly Roll,country
4f2G7uAWqzpOPwEfCDV87A,F-1 Trillion: Long Bed,Mercury Records/Post Malone,https://open.spotify.com/album/4f2G7uAWqzpOPwEfCDV87A,https://i.scdn.co/image/ab67616d0000b273e17e51543be87943285b65ad,Post Malone,country pop
6kcZ35GY84A3FBIcIKVqTW,Higher,Mercury Nashville,https://open.spotify.com/album/6kcZ35GY84A3FBIcIKVqTW,https://i.scdn.co/image/ab67616d0000b273de2e30cf7205b45a0ba3877f,Chris Stapleton,country
1j5AROUr8rq5xb2CXDIH1c,Lil Boo Thang,Arista Records,https://open.spotify.com/album/1j5AROUr8rq5xb2CXDIH1c,https://i.scdn.co/image/ab67616d0000b273f1304c61690f550a0d5983b1,Paul Russell,pop rap
